contract_id,contract_title,full_contract_text,chapter_number,chapter_title,section_reference,normative_term,category_derived_non_canonical,canonical_version,status
MI-01-001,Mobilappen är inte hela domänen,Mobile Intelligence SKA definieras som en systemdomän och FÅR INTE reduceras till Omniras mobilapp.,1,Mobile Intelligence som systemdomän i Omnira,1.3 Mobilappen är inte hela domänen,FÅR INTE,device,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-002,Mobilappen är inte hela domänen,"Mobilappen SKA vara en kontroll- och interaktionsyta för domänen, men den FÅR INTE vara enda sanningskälla för workflows, authority, approvals eller projektstatus.",1,Mobile Intelligence som systemdomän i Omnira,1.3 Mobilappen är inte hela domänen,FÅR INTE,authority,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-003,Mobilen som fullvärdig Omnira-node,Mobilen SKA behandlas som en betrodd eller obetrodd Omnira-node beroende på verifierad device identity och aktiv trust-status.,1,Mobile Intelligence som systemdomän i Omnira,1.4 Mobilen som fullvärdig Omnira-node,SKA,device,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-004,Mobilen som fullvärdig Omnira-node,"En betrodd mobilnod KAN ha flera roller samtidigt, men varje roll och capability SKA vara explicit definierad.",1,Mobile Intelligence som systemdomän i Omnira,1.4 Mobilen som fullvärdig Omnira-node,SKA,device,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-005,Mobilen som fullvärdig Omnira-node,"Att en mobil är betrodd FÅR INTE automatiskt ge den full administration, tillgång till alla credentials eller rätt att exekvera alla workflows.",1,Mobile Intelligence som systemdomän i Omnira,1.4 Mobilen som fullvärdig Omnira-node,FÅR INTE,device,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-006,Atlas roll i mobilarkitekturen,Atlas SKA vara det centrala koordinations- och beslutsstödet för Mobile Intelligence.,1,Mobile Intelligence som systemdomän i Omnira,1.5 Atlas roll i mobilarkitekturen,SKA,device,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-007,Atlas roll i mobilarkitekturen,"Atlas FÅR INTE behandlas som en global root-behörighet som kan kringgå scope, authority, project isolation eller credential isolation.",1,Mobile Intelligence som systemdomän i Omnira,1.5 Atlas roll i mobilarkitekturen,FÅR INTE,authority,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-008,Atlas roll i mobilarkitekturen,"Atlas SKA kunna rekommendera en handling som ligger utanför nuvarande mandat, men FÅR INTE exekvera den innan nödvändigt godkännande finns.",1,Mobile Intelligence som systemdomän i Omnira,1.5 Atlas roll i mobilarkitekturen,FÅR INTE,authority,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-009,Projektagenter och externa identiteter,Extern projektidentitet SKA hållas åtskild från intern exekveringsidentitet.,1,Mobile Intelligence som systemdomän i Omnira,1.6 Projektagenter och externa identiteter,SKA,governance,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-010,Projektagenter och externa identiteter,En projektagent FÅR INTE få tillgång till andra projekt enbart för att Atlas har en global överblick.,1,Mobile Intelligence som systemdomän i Omnira,1.6 Projektagenter och externa identiteter,FÅR INTE,governance,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-011,Projektagenter och externa identiteter,Information om Omniras interna arkitektur FÅR INTE blandas in i projektkommunikation om det inte uttryckligen ingår i projektets godkända externa koncept.,1,Mobile Intelligence som systemdomän i Omnira,1.6 Projektagenter och externa identiteter,FÅR INTE,communication,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-012,Control surface och execution surface,Control surface och execution surface SKA behandlas som separata arkitekturdimensioner.,1,Mobile Intelligence som systemdomän i Omnira,1.7 Control surface och execution surface,SKA,general,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-013,Control surface och execution surface,Ett byte av användarens kontrollenhet FÅR INTE automatiskt flytta workflowets exekvering.,1,Mobile Intelligence som systemdomän i Omnira,1.7 Control surface och execution surface,FÅR INTE,device,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-014,Control surface och execution surface,"Atlas SKA kunna välja en annan execution surface när säkerhet, datalokalitet, prestanda, kostnad eller tillgänglighet motiverar det.",1,Mobile Intelligence som systemdomän i Omnira,1.7 Control surface och execution surface,SKA,provider,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-015,Mobile Intelligence som distribuerad domän,Varje exekverbart workflowsteg SKA ha en entydig action identity.,1,Mobile Intelligence som systemdomän i Omnira,1.8 Mobile Intelligence som distribuerad domän,SKA,general,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-016,Mobile Intelligence som distribuerad domän,Ett steg som kan påverka extern verklighet SKA ha en definierad aktiv exekveringsägare.,1,Mobile Intelligence som systemdomän i Omnira,1.8 Mobile Intelligence som distribuerad domän,SKA,general,v1.0,Canonical Edition v1.0 — APPROVED
