contract_id,contract_title,full_contract_text,chapter_number,chapter_title,section_reference,category_derived_non_canonical,canonical_version,status
GP-1,Användarrelation,Arnold ska vara GainPilots primära användarnära coach. Interna agenter och system får stödja Arnold utan att skapa en fragmenterad användarupplevelse.,1,GainPilots uppdrag,1.18 Arkitekturkontrakt,agent,v1.0,Canonical Review Candidate
GP-2,Central intelligens,"Atlas ska fungera som den övergripande intelligensen bakom Arnold. Arnold ska kunna använda Atlas för bredare resonemang, minne, research och samordning.",1,GainPilots uppdrag,1.18 Arkitekturkontrakt,memory,v1.0,Canonical Review Candidate
GP-3,Minnesisolering,GainPilots minnesdomän ska vara isolerad från andra användare och andra Omnira-projekt. Ingen agent får använda irrelevant eller obehörig projektdata för att personanpassa GainPilot.,1,GainPilots uppdrag,1.18 Arkitekturkontrakt,training,v1.0,Canonical Review Candidate
GP-4,Förklarbar anpassning,Varje betydelsefull automatisk förändring av användarens upplägg ska kunna förklaras.,1,GainPilots uppdrag,1.18 Arkitekturkontrakt,training,v1.0,Canonical Review Candidate
GP-5,Valbar kontroll,Användaren ska kunna välja hur mycket GainPilot får ändra automatiskt.,1,GainPilots uppdrag,1.18 Arkitekturkontrakt,product,v1.0,Canonical Review Candidate
GP-6,Sammanhängande planering,"Träning, kost, aktivitet, progression och återhämtning ska behandlas som delar av samma planeringsproblem.",1,GainPilots uppdrag,1.18 Arkitekturkontrakt,nutrition,v1.0,Canonical Review Candidate
GP-7,Kontrollerad research,"Extern information ska bedömas utifrån källkvalitet, aktualitet, relevans och osäkerhet innan den används.",1,GainPilots uppdrag,1.18 Arkitekturkontrakt,safety,v1.0,Canonical Review Candidate
GP-8,Kontrollerad produktutveckling,Alla kodförändringar som initieras av Atlas eller andra agenter ska ske på en separat branch och genom en verifierad PR- och mergeprocess.,1,GainPilots uppdrag,1.18 Arkitekturkontrakt,agent,v1.0,Canonical Review Candidate
GP-9,Kontext före rekommendation,"GainPilot får inte skapa en personlig rekommendation utan tillräcklig relevant kontext. När kontexten är otillräcklig ska systemet fråga, begränsa rådet eller tydligt beskriva osäkerheten.",2,Problemet GainPilot löser,2.23 Arkitekturkontrakt,safety,v1.0,Canonical Review Candidate
GP-10,Helhetsanalys,"Betydelsefulla förändringar av träning, kost eller aktivitet ska bedömas utifrån konsekvenserna för användarens samlade upplägg.",2,Problemet GainPilot löser,2.23 Arkitekturkontrakt,nutrition,v1.0,Canonical Review Candidate
GP-11,Verkligheten är en del av modellen,Återkommande avvikelser ska kunna behandlas som signaler om att planen behöver förändras. Systemet får inte automatiskt tolka alla avvikelser som bristande motivation.,2,Problemet GainPilot löser,2.23 Arkitekturkontrakt,data,v1.0,Canonical Review Candidate
GP-12,Meningsfull valfrihet,"GainPilot ska prioritera ett begränsat antal relevanta alternativ framför långa, osorterade listor.",2,Problemet GainPilot löser,2.23 Arkitekturkontrakt,product,v1.0,Canonical Review Candidate
GP-13,Mönster före överreaktion,GainPilot ska som huvudregel kräva ett tillräckligt mönster eller tydlig risk innan större förändringar genomförs.,2,Problemet GainPilot löser,2.23 Arkitekturkontrakt,safety,v1.0,Canonical Review Candidate
GP-14,Förklaring före förtroende,Betydelsefulla rekommendationer och förändringar ska kunna förklaras på en nivå som passar användaren.,2,Problemet GainPilot löser,2.23 Arkitekturkontrakt,training,v1.0,Canonical Review Candidate
GP-15,Externt innehåll kräver granskning,"Program, övningar, kostråd och annan information från externa källor ska granskas, normaliseras och anpassas innan de används.",2,Problemet GainPilot löser,2.23 Arkitekturkontrakt,nutrition,v1.0,Canonical Review Candidate
GP-16,Personalisering över tid,GainPilot ska förbättra sin användarmodell genom tillåtna och relevanta observationer över tid. En onboardingprofil får inte behandlas som en fullständig och permanent bild av användaren.,2,Problemet GainPilot löser,2.23 Arkitekturkontrakt,memory,v1.0,Canonical Review Candidate
GP-17,En konsekvent coachrelation,"Arnold ska vara GainPilots primära och konsekventa användarnära coach. Interna modeller, agenter och tjänster får inte skapa motstridiga personligheter eller regler.",3,Arnold och den personliga coachupplevelsen,3.39 Arkitekturkontrakt,agent,v1.0,Canonical Review Candidate
GP-18,"Atlas bakom, Arnold framför",Atlas ska ge Arnold bredare intelligens. Arnold ska normalt vara den som kommunicerar beslutet till användaren.,3,Arnold och den personliga coachupplevelsen,3.39 Arkitekturkontrakt,agent,v1.0,Canonical Review Candidate
GP-19,Domänstyrd coachning,"Arnolds svar och handlingar ska förankras i GainPilots domänmodeller, säkerhetsregler och användarkontext.",3,Arnold och den personliga coachupplevelsen,3.39 Arkitekturkontrakt,agent,v1.0,Canonical Review Candidate
GP-20,"Anpassningsbar ton, stabil säkerhet","Arnolds kommunikationsstil får anpassas. Säkerhetsgränser, ärlighet och faktiska beslutskriterier får inte anpassas bort.",3,Arnold och den personliga coachupplevelsen,3.39 Arkitekturkontrakt,training,v1.0,Canonical Review Candidate
GP-21,Relevant proaktivitet,Arnold får agera proaktivt när det finns ett rimligt användarvärde och rätt behörighet. Proaktivitet får inte skapa onödigt brus eller upplevelse av övervakning.,3,Arnold och den personliga coachupplevelsen,3.39 Arkitekturkontrakt,agent,v1.0,Canonical Review Candidate
GP-22,Osäkerhet ska uttryckas,"Arnold ska skilja mellan fakta, tolkning, hypotes och rekommendation.",3,Arnold och den personliga coachupplevelsen,3.39 Arkitekturkontrakt,agent,v1.0,Canonical Review Candidate
GP-23,Ingen kritisk gissning,"När viktig kontext saknas ska Arnold fråga, begränsa rekommendationen eller avstå.",3,Arnold och den personliga coachupplevelsen,3.39 Arkitekturkontrakt,agent,v1.0,Canonical Review Candidate
GP-24,Historik och återställning,"Betydelsefulla automatiska ändringar ska kunna spåras, förklaras och återställas.",3,Arnold och den personliga coachupplevelsen,3.39 Arkitekturkontrakt,product,v1.0,Canonical Review Candidate
GP-25,Professionella gränser,Arnold får inte framställa GainPilot som ersättning för professionell vård eller ge råd utanför plattformens mandat.,3,Arnold och den personliga coachupplevelsen,3.39 Arkitekturkontrakt,agent,v1.0,Canonical Review Candidate
GP-26,Användarkontroll,Arnolds handlingar ska följa användarens valda kontrollnivå och tillämpliga approvalkrav.,3,Arnold och den personliga coachupplevelsen,3.39 Arkitekturkontrakt,agent,v1.0,Canonical Review Candidate
GP-27,"Gemensamt fundament, anpassad upplevelse","GainPilot ska använda ett gemensamt plattformsfundament men anpassa upplevelse, planering och coachning efter användarens domän och behov.",4,Målgrupper och användarbehov,4.38 Arkitekturkontrakt,training,v1.0,Canonical Review Candidate
GP-28,Ingen global erfarenhetsnivå,Användarens erfarenhet ska kunna representeras per träningsdomän och vid behov per färdighet.,4,Målgrupper och användarbehov,4.38 Arkitekturkontrakt,training,v1.0,Canonical Review Candidate
GP-29,Kombinerade mål kräver prioritering,När användaren har flera mål ska GainPilot definiera deras prioritet och analysera konflikter.,4,Målgrupper och användarbehov,4.38 Arkitekturkontrakt,data,v1.0,Canonical Review Candidate
GP-30,Praktiska begränsningar är planeringsdata,"Tid, utrustning, vardag och kostpraktik ska behandlas som verkliga krav i planen.",4,Målgrupper och användarbehov,4.38 Arkitekturkontrakt,nutrition,v1.0,Canonical Review Candidate
GP-31,Preferens är inte säkerhetsbegränsning,"GainPilot ska skilja mellan personlig preferens, praktisk begränsning och säkerhetsrelaterad begränsning.",4,Målgrupper och användarbehov,4.38 Arkitekturkontrakt,security,v1.0,Canonical Review Candidate
GP-32,Progressiv komplexitet,Nybörjare ska kunna använda GainPilot utan att exponeras för onödig komplexitet. Avancerade användare ska kunna få större kontroll och insyn.,4,Målgrupper och användarbehov,4.38 Arkitekturkontrakt,product,v1.0,Canonical Review Candidate
GP-33,Segmentering får inte låsa användaren,Målgruppssegment ska vägleda personalisering men får inte förhindra användaren från att kombinera domäner eller förändras över tid.,4,Målgrupper och användarbehov,4.38 Arkitekturkontrakt,memory,v1.0,Canonical Review Candidate
GP-34,Aktuell användarvilja har företräde,Historiskt minne och observerade mönster får inte tyst ersätta användarens aktuella uttryckta mål och beslut.,4,Målgrupper och användarbehov,4.38 Arkitekturkontrakt,memory,v1.0,Canonical Review Candidate
GP-35,Personalisering ska kunna korrigeras,"Användaren ska kunna se, ändra och ta bort viktiga profiluppgifter som påverkar GainPilots beslut.",4,Målgrupper och användarbehov,4.38 Arkitekturkontrakt,memory,v1.0,Canonical Review Candidate
GP-36,Målgruppsinsikter ska bli produktkrav,"Identifierade användarbehov ska kunna översättas till konkreta kapabiliteter, tester och framgångskriterier.",4,Målgrupper och användarbehov,4.38 Arkitekturkontrakt,governance,v1.0,Canonical Review Candidate
GP-37,Verkligt användarvärde,Varje större funktion ska kunna kopplas till ett definierat användarbehov och ett verifierbart resultat.,5,GainPilots produktprinciper och anti-principer,5.48 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-38,Genomförbar planering,"GainPilot ska optimera för ett upplägg som användaren rimligen kan genomföra, inte endast ett teoretiskt optimalt upplägg.",5,GainPilots produktprinciper och anti-principer,5.48 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-39,Intelligens minskar friktion,"AI och automatik ska minska planerings-, besluts- eller registreringsbördan. De får inte skapa mer arbete än de ersätter utan tydligt mervärde.",5,GainPilots produktprinciper och anti-principer,5.48 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-40,Progressiv komplexitet,"Kärnupplevelsen ska vara enkel. Djupare data, analys och kontroll ska kunna öppnas av användare som behöver det.",5,GainPilots produktprinciper och anti-principer,5.48 ARKITEKTURKONTRAKT,data,v1.0,Canonical Review Candidate
GP-41,Förklarbar och reversibel automatik,"Betydelsefulla automatiska beslut ska kunna förklaras, spåras och återställas.",5,GainPilots produktprinciper och anti-principer,5.48 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-42,Syftesbegränsad kontext,"Arnold och Atlas får endast använda kontext som är relevant, tillåten och proportionerlig mot uppgiften.",5,GainPilots produktprinciper och anti-principer,5.48 ARKITEKTURKONTRAKT,agent,v1.0,Canonical Review Candidate
GP-43,Kontrollerat minne,"Viktiga minnesposter ska kunna granskas, korrigeras och tas bort av användaren.",5,GainPilots produktprinciper och anti-principer,5.48 ARKITEKTURKONTRAKT,memory,v1.0,Canonical Review Candidate
GP-44,Helhetsbedömning,"Betydelsefulla ändringar inom träning, kost eller aktivitet ska analyseras i relation till användarens samlade plan.",5,GainPilots produktprinciper och anti-principer,5.48 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-45,Stabilitet före förändring,En fungerande plan ska inte ändras utan ett tillräckligt skäl.,5,GainPilots produktprinciper och anti-principer,5.48 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-46,Kvalitetskontrollerat innehåll,"Övningar, program, kostunderlag, videor och externa källor ska granskas innan de blir canonical eller används för personliga rekommendationer.",5,GainPilots produktprinciper och anti-principer,5.48 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-47,Professionella gränser,GainPilot ska tydligt skilja mellan tränings- och kostvägledning och professionell medicinsk eller vårdrelaterad bedömning.,5,GainPilots produktprinciper och anti-principer,5.48 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-48,Användarägd korrigering,Användaren ska kunna korrigera de viktiga profiluppgifter och antaganden som påverkar GainPilots beslut.,5,GainPilots produktprinciper och anti-principer,5.48 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-49,Branchbaserad utveckling,"Kodförändringar ska genomföras på separat branch och följa test-, PR-, review- och mergeprocess.",5,GainPilots produktprinciper och anti-principer,5.48 ARKITEKTURKONTRAKT,governance,v1.0,Canonical Review Candidate
GP-50,Begränsad autonomi,"Agentmandat ska vara explicita, avgränsade, spårbara, återkalleliga och kopplade till risknivå.",5,GainPilots produktprinciper och anti-principer,5.48 ARKITEKTURKONTRAKT,agent,v1.0,Canonical Review Candidate
GP-51,Ärlig produktstatus,"GainPilot ska tydligt skilja mellan experimentellt, begränsat och fullt produktionsstöd.",5,GainPilots produktprinciper och anti-principer,5.48 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-52,Ingen manipulativ design,"GainPilot får inte använda skuld, rädsla, falsk brådska eller artificiell inlåsning för att driva användarbeteende eller intäkter.",5,GainPilots produktprinciper och anti-principer,5.48 ARKITEKTURKONTRAKT,operations,v1.0,Canonical Review Candidate
GP-53,Progressiv onboarding,GainPilot ska samla den minsta information som krävs för ett säkert första värde och komplettera profilen när ytterligare kontext blir relevant.,6,Onboarding och den kanoniska användarmodellen,6.51 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-54,Frågor kräver syfte,"Varje onboardingfråga ska kunna kopplas till ett definierat användarvärde, säkerhetsbehov eller planeringsbeslut.",6,Onboarding och den kanoniska användarmodellen,6.51 ARKITEKTURKONTRAKT,security,v1.0,Canonical Review Candidate
GP-55,Tidigt användarvärde,Onboardingen ska skapa begripligt värde innan hela den långsiktiga profilen är komplett.,6,Onboarding och den kanoniska användarmodellen,6.51 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-56,Strukturerad målmodell,"Mål ska representeras med prioritet, tidsperiod, mätetal, konflikter och relation till andra mål.",6,Onboarding och den kanoniska användarmodellen,6.51 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-57,Domänspecifik erfarenhet,Erfarenhet ska modelleras per träningsdomän och vid behov per färdighet.,6,Onboarding och den kanoniska användarmodellen,6.51 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-58,Nuläge före gammal historik,Aktuell bekräftad kontext ska normalt väga tyngre än äldre historisk information vid planering.,6,Onboarding och den kanoniska användarmodellen,6.51 ARKITEKTURKONTRAKT,safety,v1.0,Canonical Review Candidate
GP-59,Praktiska förutsättningar är canonical data,"Tillgängliga dagar, tid, utrustning och kostpraktik ska påverka den aktiva planen.",6,Onboarding och den kanoniska användarmodellen,6.51 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-60,Säkerhetsbegränsningar ska särskiljas,"Allergier, smärta och andra säkerhetsrelaterade begränsningar ska skiljas från vanliga preferenser.",6,Onboarding och den kanoniska användarmodellen,6.51 ARKITEKTURKONTRAKT,security,v1.0,Canonical Review Candidate
GP-61,Granulär kontroll,Användarens kontrollnivå ska kunna tillämpas per kapabilitet och riskklass.,6,Onboarding och den kanoniska användarmodellen,6.51 ARKITEKTURKONTRAKT,safety,v1.0,Canonical Review Candidate
GP-62,Behörighetsstyrd Atlas-kontext,"Information från Atlas eller andra Omnira-domäner får endast användas genom Hermes, rätt syfte och tillämpligt användargodkännande.",6,Onboarding och den kanoniska användarmodellen,6.51 ARKITEKTURKONTRAKT,memory,v1.0,Canonical Review Candidate
GP-63,Provenance för användaruppgifter,"Viktiga uppgifter ska kunna kopplas till källa, tidpunkt, säkerhetsnivå och giltighet.",6,Onboarding och den kanoniska användarmodellen,6.51 ARKITEKTURKONTRAKT,security,v1.0,Canonical Review Candidate
GP-64,Inferens är inte fakta,Systeminferenser ska markeras som inferenser och får inte behandlas som användarbekräftade fakta.,6,Onboarding och den kanoniska användarmodellen,6.51 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-65,Tidsbegränsad information ska löpa ut,Tillfälliga begränsningar och kontexter ska ha giltighetstid eller omprövningspunkt.,6,Onboarding och den kanoniska användarmodellen,6.51 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-66,Användarkorrigering,Användaren ska kunna se och korrigera de uppgifter som påverkar GainPilots beslut.,6,Onboarding och den kanoniska användarmodellen,6.51 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-67,Canonical användarmodell,GainPilots agenter och funktioner ska använda en gemensam styrd användarmodell och får inte skapa okontrollerade parallella profiler.,6,Onboarding och den kanoniska användarmodellen,6.51 ARKITEKTURKONTRAKT,agent,v1.0,Canonical Review Candidate
GP-68,Första planen är kalibrerbar,"Det första upplägget ska presenteras som ett förklarat och anpassningsbart förslag, inte som en slutgiltig sanning.",6,Onboarding och den kanoniska användarmodellen,6.51 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-69,Träning som sammanhängande system,"GainPilot ska behandla program, pass, övningar, progression, återhämtning och resultat som delar av samma träningsmodell.",7,Träningsintelligens,7.64 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-70,Syftesstyrd programmering,Varje program och betydelsefull programdel ska kunna kopplas till ett definierat mål eller planeringsbehov.,7,Träningsintelligens,7.64 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-71,Regelstyrd programgenerering,"Personliga program ska skapas genom canonical träningsregler och strukturerad användarkontext, inte genom fri språkmodellsgenerering ensam.",7,Träningsintelligens,7.64 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-72,Domänspecifik intelligens,"Styrketräning, hypertrofi, CrossFit, calisthenics och kondition ska ha egna domänregler där deras modeller skiljer sig.",7,Träningsintelligens,7.64 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-73,Genomförbar frekvens och passlängd,Program ska utgå från användarens realistiska tillgänglighet och kunna hantera en definierad miniminivå.,7,Träningsintelligens,7.64 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-74,Funktionellt övningsurval,"Övningar ska väljas och ersättas utifrån programmets syfte, inte endast muskelgrupp eller namn.",7,Träningsintelligens,7.64 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-75,Explicit progression,Varje aktivt program ska ha en definierad progressionsmodell eller ett uttryckligt skäl till att progression inte används.,7,Träningsintelligens,7.64 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-76,Stabilitet före omprogrammering,GainPilot ska normalt kräva ett relevant mönster eller tydlig händelse innan större programförändringar genomförs.,7,Träningsintelligens,7.64 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-77,Canonical övningsidentitet,Övningar ska ha stabila canonical identiteter separerade från visningsnamn och språk.,7,Träningsintelligens,7.64 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-78,Strukturerad övningsgraf,"Övningsrelationer ska representeras med typ, villkor, källa och kvalitetsstatus.",7,Träningsintelligens,7.64 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-79,Kvalitetsgranskat media,"Övningsdemonstrationer ska vara licensierade, versionshanterade och tekniskt granskade innan produktionsanvändning.",7,Träningsintelligens,7.64 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-80,Domänanpassad loggning,Träningsloggen ska representera den faktiska aktivitetstypen och får inte tvinga alla domäner till set och repetitioner.,7,Träningsintelligens,7.64 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
